encoding,delimiter,bytes,fields,rows,valid,errors,validPackage,frictionLessError,file
iso8859-1,;,2939,14,56,true,0,true,0,394
utf-8,;,1228,8,12,true,0,true,0,397
iso8859-1,;,2049,22,25,false,5,false,0,398
iso8859-1,;,101112,18,2438,false,76,false,0,399
iso8859-1,;,2355,4,34,true,0,true,0,4
iso8859-1,;,796,17,19,false,16,false,0,40
utf-8,;,845,9,12,true,0,true,0,400
iso8859-1,;,4903,4,137,true,0,true,0,401
utf-8,;,16734,7,600,true,0,true,0,402
iso8859-1,;,1649,12,27,false,4,false,0,403
utf-8,;,331,7,14,false,10,false,0,404
utf-8,;,227,3,5,true,0,true,0,405
iso8859-1,;,2141,3,128,true,0,true,0,406
utf-8,;,166,3,9,true,0,true,0,407
utf-8,;,459,3,11,false,3,false,0,408
iso8859-1,;,65506,18,1538,false,76,false,0,409
utf-8,;,2364,6,55,false,2,false,0,41
utf-8,;,269,5,20,false,20,false,0,410
iso8859-1,;,519,8,2,true,0,true,0,411
iso8859-1,;,5316,11,27,true,0,true,0,414
utf-8,;,1638,9,26,true,0,true,0,415
utf-8,;,803,9,12,true,0,true,0,416
utf-8,;,354,3,12,true,0,true,0,417
iso8859-1,;,424,3,12,true,0,true,0,418
utf-8,;,806,9,12,true,0,true,0,42
cp1252,;,7790,10,50,true,0,true,0,43
iso8859-1,;,867,3,29,true,0,true,0,44
utf-8,;,2435,12,35,false,7,false,0,45
utf-8,;,651,7,11,false,4,false,0,46
utf-8,;,289362,8,3231,true,0,true,0,47
iso8859-9,;,116,3,2,true,0,true,0,49
utf-8,;,585,7,13,true,0,true,0,5
cp1252,;,3104,10,63,false,6,false,0,50
iso8859-1,;,635453,7,8620,true,0,true,0,51
utf-8,;,1987,14,30,false,13,false,0,52
utf-8,;,1039,18,32,false,35,false,0,53
utf-8,;,2541,5,30,false,1,false,0,54
utf-8,;,878,8,17,true,0,true,0,55
utf-8,;,206,3,5,true,0,true,0,56
utf-8,;,1455,12,44,false,34,false,0,57
utf-8,;,434,5,8,true,0,true,0,58
cp1252,;,140965,20,2698,false,1,false,0,6
iso8859-1,;,945,12,12,false,3,false,0,60
iso8859-1,;,489,9,4,true,0,true,0,61
utf-8,;,1148,9,20,false,1,false,0,62
utf-8,;,676,3,23,true,0,true,0,63
utf-8,;,646,7,12,false,1,false,0,64
iso8859-1,;,65628,18,1538,false,76,false,0,65
utf-8,;,728,14,6,true,0,true,0,66
utf-8,;,54808,32,600,true,0,true,0,67
utf-8,;,1182,12,13,false,5,false,0,68
utf-8,;,335,8,2,true,0,true,0,69
iso8859-1,;,3815,2,22,true,0,true,0,7
utf-8,;,2746,8,13,true,0,true,0,70
utf-8,;,431,5,11,true,0,true,0,71
cp1252,;,4723,21,114,false,89,false,0,72
utf-8,;,1955,9,79,false,59,false,0,74
iso8859-1,;,380,7,5,true,0,true,0,75
utf-8,;,111568,19,2700,true,0,true,0,76
iso8859-1,;,544,2,8,true,0,true,0,77
iso8859-1,;,905,12,12,false,4,false,0,78
utf-8,;,1181658,14,10461,false,11,false,0,79
utf-8,;,633,8,5,true,0,true,0,80
utf-8,;,392,9,2,true,0,true,0,81
utf-8,;,697,9,26,false,19,false,0,83
utf-8,;,333,7,6,true,0,true,0,84
utf-8,;,149,5,9,false,7,false,0,85
utf-8,;,4882,4,73,true,0,true,0,86
iso8859-1,;,1079,15,14,true,0,true,0,87
utf-8,;,697,9,7,false,3,false,0,88
iso8859-1,;,311,3,8,true,0,true,0,89
iso8859-1,;,1063,9,14,false,2,false,0,90
utf-8,;,386,3,14,true,0,true,0,91
iso8859-1,;,35607,20,600,true,0,true,0,92
iso8859-1,;,105,3,2,true,0,true,0,93
utf-8,;,1673,5,22,true,0,true,0,94
utf-8,;,648,14,9,true,0,true,0,95
iso8859-1,;,408,3,12,true,0,true,0,96
utf-8,;,49042,20,601,false,2,false,0,98
utf-8,;,404,3,12,true,0,true,0,99
