file,encoding,delimiter,bytes,fields,rows,valid,errors,validPackage,frictionLessError,downloadURL
15,utf-8,",",1646,7,26,false,1,false,0,https://goo.gl/8Dfq1D
15,utf-8,",",1646,7,26,false,1,false,0,https://goo.gl/8Dfq1D
15,utf-8,",",1646,7,26,false,1,false,0,https://goo.gl/8Dfq1D
15,utf-8,",",1646,7,26,false,1,false,0,https://goo.gl/8Dfq1D
16,utf-8,",",671,4,10,true,0,true,0,http://dati.comune.matera.it/dataset/aaa99898-8727-4595-8584-cc5881e4309a/resource/201eaa20-1a64-4154-8564-847eff967f11/download/progetto_matera_cardiosicura-foglio1.csv
16,utf-8,",",671,4,10,true,0,true,0,http://dati.comune.matera.it/dataset/aaa99898-8727-4595-8584-cc5881e4309a/resource/201eaa20-1a64-4154-8564-847eff967f11/download/progetto_matera_cardiosicura-foglio1.csv
16,utf-8,",",671,4,10,true,0,true,0,http://dati.comune.matera.it/dataset/aaa99898-8727-4595-8584-cc5881e4309a/resource/201eaa20-1a64-4154-8564-847eff967f11/download/progetto_matera_cardiosicura-foglio1.csv
16,utf-8,",",671,4,10,true,0,true,0,http://dati.comune.matera.it/dataset/aaa99898-8727-4595-8584-cc5881e4309a/resource/201eaa20-1a64-4154-8564-847eff967f11/download/progetto_matera_cardiosicura-foglio1.csv
17,utf-8,",",21509,10,322,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRjgXM-jhFCj9FSoC3BWd7EYtOrwxU2HH1xDviGAz_r5sqaglQf6clOhqcMSj8YAbiZQSgffb4CfPvK/pub?gid=763661727&single=true&output=csv
17,utf-8,",",21509,10,322,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRjgXM-jhFCj9FSoC3BWd7EYtOrwxU2HH1xDviGAz_r5sqaglQf6clOhqcMSj8YAbiZQSgffb4CfPvK/pub?gid=763661727&single=true&output=csv
